Profession,Language,Translated Job Description,Translated Resume
Retail Salespersons,en,"Serve as the primary point of contact for customers in a retail setting. Offer guidance on products, handle merchandise displays, and process sales transactions. Address customer inquiries and concerns, ensuring a positive shopping experience. Maintain awareness of current promotions and store policies to provide accurate information.",Jane Smith: 5 years' experience as Lead Sales Associate at Prestige Retailers. Boosted sales by 15% through personalized customer engagement. Trained and mentored over 20 new staff members. Recognized for consistently maintaining top-performer status and providing exceptional customer service.
Retail Salespersons,zh,在零售环境中充当客户的主要联系点。提供产品指导，处理商品陈列和处理销售交易。解决买家的询问和疑虑，确保良好的购物体验。保持对当前促销和商店政策的了解，以提供准确的信息。,Jane Smith：在知名零售商担任首席销售助理已有 5 年经验。通过个性化的客户互动，将销售额提高了15％。培训和指导了20多名新工作人员。因始终如一地保持最佳表现者地位和提供卓越的客户服务而受到认可。
Retail Salespersons,es,"Sirve como el principal punto de contacto para los clientes en un entorno minorista. Ofrezca orientación sobre los productos, gestione las exhibiciones de mercancías y procese las transacciones de venta. Aborde las consultas e inquietudes de los clientes, garantizando una experiencia de compra positiva. Mantente al tanto de las promociones actuales y las políticas de la tienda para proporcionar información precisa.",Jane Smith: 5 años de experiencia como asociada principal de ventas en Prestige Retailers. Aumentó las ventas en un 15% gracias a la interacción personalizada con los clientes. Capacitó y asesoró a más de 20 nuevos miembros del personal. Reconocido por mantener constantemente el estatus de mejor desempeño y brindar un servicio al cliente excepcional.
Retail Salespersons,hi,"रिटेल सेटिंग में ग्राहकों के लिए संपर्क के प्राथमिक बिंदु के रूप में काम करें। उत्पादों पर मार्गदर्शन प्रदान करें, मर्चेंडाइज़ डिस्प्ले को संभालें और बिक्री लेनदेन को प्रोसेस करें। खरीदारी का सकारात्मक अनुभव सुनिश्चित करते हुए, ग्राहकों की पूछताछ और चिंताओं को दूर करें। सटीक जानकारी प्रदान करने के लिए वर्तमान प्रचारों और स्टोर नीतियों के बारे में जागरूकता बनाए रखें।",जेन स्मिथ: प्रेस्टीज रिटेलर्स में लीड सेल्स एसोसिएट के रूप में 5 साल का अनुभव। व्यक्तिगत ग्राहक सहभागिता के माध्यम से बिक्री में 15% की वृद्धि हुई। 20 से अधिक नए स्टाफ सदस्यों को प्रशिक्षित और सलाह दी। लगातार शीर्ष प्रदर्शन करने वाले का दर्जा बनाए रखने और असाधारण ग्राहक सेवा प्रदान करने के लिए मान्यता प्राप्त है।
Retail Salespersons,ar,تعمل كنقطة اتصال أساسية للعملاء في بيئة البيع بالتجزئة. تقديم إرشادات حول المنتجات والتعامل مع عروض البضائع ومعالجة معاملات المبيعات. معالجة استفسارات العملاء ومخاوفهم، مما يضمن تجربة تسوق إيجابية. حافظ على الوعي بالعروض الترويجية الحالية وسياسات المتجر لتوفير معلومات دقيقة.,جين سميث: 5 سنوات من الخبرة كمساعد مبيعات رئيسي في Prestige Retailers. عززت المبيعات بنسبة 15٪ من خلال مشاركة العملاء المخصصة. تم تدريب وتوجيه أكثر من 20 موظفًا جديدًا. معترف به للحفاظ باستمرار على وضع أفضل أداء وتقديم خدمة عملاء استثنائية.
Retail Salespersons,pt,"Sirva como o principal ponto de contato para clientes em um ambiente de varejo. Ofereça orientação sobre produtos, gerencie displays de mercadorias e processe transações de vendas. Atenda às dúvidas e preocupações dos clientes, garantindo uma experiência de compra positiva. Fique atento às promoções atuais e às políticas da loja para fornecer informações precisas.",Jane Smith: 5 anos de experiência como associada líder de vendas na Prestige Retailers. Aumentou as vendas em 15% por meio do engajamento personalizado do cliente. Treinou e orientou mais de 20 novos funcionários. Reconhecida por manter consistentemente o status de melhor desempenho e fornecer um atendimento excepcional ao cliente.
Retail Salespersons,bn,"খুচরা সেটিংসে গ্রাহকদের জন্য যোগাযোগের প্রাথমিক পয়েন্ট হিসাবে কাজ করুন। পণ্যগুলির উপর নির্দেশিকা অফার করুন, পণ্যদ্রব্য প্রদর্শন পরিচালনা করুন এবং বিক্রয় লেন একটি ইতিবাচক কেনাকাটার অভিজ্ঞতা নিশ্চিত করে গ্রাহকের অনুসন্ধান এবং উদ্বেগগুলি সঠিক তথ্য সরবরাহ করতে বর্তমান প্রচার এবং স্টোর নীতি সম্পর্কে সচেতনতা বজায় রাখুন",জেন স্মিথ: প্রেস্টিজ রিটেইলারদের লিড সেলস অ্যাসোসিয়েট হিসাবে 5 বছরের অভিজ্ঞতা। ব্যক্তিগতকৃত গ্রাহক ব্যস্ততার মাধ্যমে 15% বিক্রয় বাড়িয়েছে। 20 টিরও বেশি নতুন কর্মীদের প্রশিক্ষিত এবং পরামর্শ দেওয়া হয়েছে। ধারাবাহিকভাবে শীর্ষ পারফর্মার স্ট্যাটাস বজায় রাখার এবং ব্যতিক্রমী
Retail Salespersons,ru,"Служите основным контактным лицом для клиентов в розничной торговле. Предоставляйте рекомендации по продуктам, управляйте выставками товаров и обрабатывайте сделки купли-продажи. Отвечайте на запросы и проблемы клиентов, обеспечивая положительные впечатления от покупок. Следите за текущими акциями и правилами магазина, чтобы предоставлять точную информацию.",Джейн Смит: 5-летний опыт работы ведущим торговым консультантом в Prestige Retailers. Увеличила продажи на 15% за счет персонализированного взаимодействия с клиентами. Обучил и наставничал более 20 новых сотрудников. Признан за постоянное поддержание высокого статуса и исключительное обслуживание клиентов.
Retail Salespersons,ja,小売店での顧客の主要な連絡窓口としての役割を果たします。製品に関するガイダンスの提供、商品の陳列処理、販売取引の処理を行います。顧客からの問い合わせや懸念に対応し、ポジティブなショッピング体験を保証します。最新のプロモーションや店舗ポリシーを常に把握し、正確な情報を提供してください。,ジェーン・スミス：プレステージ・リテーラーズでリード・セールス・アソシエイトとして5年の経験があります。パーソナライズされた顧客エンゲージメントにより、売上を 15% 向上させました。20 人以上の新しいスタッフをトレーニングし、指導しました。常にトップパフォーマーとしての地位を維持し、優れたカスタマーサービスを提供していることで知られています。
Retail Salespersons,de,"Dienen als Hauptansprechpartner für Kunden im Einzelhandel. Bieten Sie Beratung zu Produkten, kümmern Sie sich um Warenausstellungen und wickeln Sie Verkaufstransaktionen ab. Gehen Sie auf Kundenanfragen und Bedenken ein und sorgen Sie so für ein positives Einkaufserlebnis. Halten Sie sich über aktuelle Angebote und Geschäftsrichtlinien auf dem Laufenden, um genaue Informationen bereitzustellen.",Jane Smith: 5 Jahre Erfahrung als Lead Sales Associate bei Prestige Retailers. Steigerung des Umsatzes um 15% durch personalisierte Kundenbindung. Über 20 neue Mitarbeiter geschult und betreut. Bekannt für die konsequente Beibehaltung des Spitzenstatus und die Bereitstellung eines außergewöhnlichen Kundendienstes.
Office Clerks,en,"Support office operations by performing general clerical duties, from answering phones to maintaining files. Facilitate internal and external communication, distribute correspondence, and manage supplies. Input, update, and retrieve information from various computer systems. Collaborate with multiple departments to streamline administrative processes.","John Doe: Dedicated Office Clerk with 6 years at Dynamic Corp, specializing in administrative efficiency. Managed a system overhaul that increased data retrieval speed by 25%. Skilled in advanced office software, handling communication, and streamlining workflows. Twice awarded 'Employee of the Month' for exceptional dedication."
